dataset_id,family,precision,workload,scenario_id,case_id,nx,ny,nz,grid,batch,threads,sweep_var,sweep_value,profile_id,profile_desc,isa,run_count,fwd_ms_mean,fwd_ms_std,bwd_ms_mean,bwd_ms_std,fwd_gflops_std,bwd_gflops_std,fwd_gflops_mean,bwd_gflops_mean,mem_kib_exact,base_fwd_gflops,base_bwd_gflops,fwd_speedup_vs_baseline,bwd_speedup_vs_baseline,fwd_increase_pct,bwd_increase_pct
1d_single,1d,single,batch_scaling,n16384_t10,n16384_b1_t10,16384,1,1,16384x1x1,1,10,batch,1,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,1,0.013051,0.0,0.013642,0.0,0.0,0.0,87.875124,84.072569,256.0,,,,,,
1d_single,1d,single,batch_scaling,n16384_t10,n16384_b4_t10,16384,1,1,16384x1x1,4,10,batch,4,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,1,0.094997,0.0,0.094882,0.0,0.0,0.0,48.291209,48.349661,1024.0,,,,,,
1d_single,1d,single,batch_scaling,n16384_t10,n16384_b16_t10,16384,1,1,16384x1x1,16,10,batch,16,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,1,0.042119,0.0,0.049392,0.0,0.0,0.0,435.667552,371.519208,4096.0,,,,,,
1d_single,1d,single,batch_scaling,n16384_t10,n16384_b64_t10,16384,1,1,16384x1x1,64,10,batch,64,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,1,0.196313,0.0,0.195066,0.0,0.0,0.0,373.89461499999993,376.28463300000004,16384.0,,,,,,
1d_single,1d,single,batch_scaling,n16384_t10,n16384_b256_t10,16384,1,1,16384x1x1,256,10,batch,256,avx512_batch_scaling,MKL AVX-512 batch scaling sweep on fixed problem,AVX512,1,1.389038,0.0,1.43528,0.0,0.0,0.0,211.37019,204.56027200000003,65536.0,,,,,,
1d_single,1d,single,thread_scaling,n16384_b64,n16384_b64_t1,16384,1,1,16384x1x1,64,1,threads,1,avx512_thread_scaling,MKL AVX-512 thread scaling sweep on fixed problem,AVX512,1,1.31888,0.0,1.335385,0.0,0.0,0.0,55.653505,54.965653,16384.0,,,,,,
1d_single,1d,single,thread_scaling,n16384_b64,n16384_b64_t2,16384,1,1,16384x1x1,64,2,threads,2,avx512_thread_scaling,MKL AVX-512 thread scaling sweep on fixed problem,AVX512,1,0.726443,0.0,0.718362,0.0,0.0,0.0,101.04073099999998,102.17733599999998,16384.0,,,,,,
1d_single,1d,single,thread_scaling,n16384_b64,n16384_b64_t4,16384,1,1,16384x1x1,64,4,threads,4,avx512_thread_scaling,MKL AVX-512 thread scaling sweep on fixed problem,AVX512,1,0.391567,0.0,0.391095,0.0,0.0,0.0,187.452629,187.67876600000002,16384.0,,,,,,
1d_single,1d,single,thread_scaling,n16384_b64,n16384_b64_t8,16384,1,1,16384x1x1,64,8,threads,8,avx512_thread_scaling,MKL AVX-512 thread scaling sweep on fixed problem,AVX512,1,0.214066,0.0,0.215565,0.0,0.0,0.0,342.88696500000003,340.501631,16384.0,,,,,,
1d_single,1d,single,thread_scaling,n16384_b64,n16384_b64_t10,16384,1,1,16384x1x1,64,10,threads,10,avx512_thread_scaling,MKL AVX-512 thread scaling sweep on fixed problem,AVX512,1,0.199277,0.0,0.190925,0.0,0.0,0.0,368.333661,384.44529700000004,16384.0,,,,,,
