set_id,manifest,profile_id,workload,case_id,n,batch,threads_field,timing_mode,run_count,fwd_ms_mean,fwd_ms_std,bwd_ms_mean,bwd_ms_std,fwd_gflops_mean,fwd_gflops_std,bwd_gflops_mean,bwd_gflops_std,mem_mb_mean
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1024_b1,1024,1,1,e2e,5,0.0132832,0.0017583262495907857,0.014782800000000002,0.0018803727555992715,3.9210646,0.628858537922719,3.5027828,0.3865703453896845,0.02
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1024_b16,1024,16,1,e2e,5,0.028572999999999998,0.0029638348469508205,0.026834000000000004,0.0032385993886246563,28.932871999999996,3.1627593399071636,30.8732274,3.574528673458054,0.25
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1024_b4,1024,4,1,e2e,5,0.020648800000000002,0.003162224723197261,0.020774800000000003,0.0032319017157085685,10.1202568,1.6503921821281449,10.0645308,1.6587534027965698,0.06
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1048576_b1,1048576,1,1,e2e,5,0.7080339999999999,0.005191706270581952,0.7035774,0.0008807382130916918,148.1031504,1.0837966599919913,149.035132,0.18638797276514238,16.0
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1048576_b16,1048576,16,1,e2e,5,11.198486800000001,0.035963359335579335,11.210939,0.05305400794002284,149.818043,0.47961105005149823,149.653087,0.7076258827250979,256.0
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n1048576_b4,1048576,4,1,e2e,5,2.7736188,0.009608092432944311,2.7772214,0.013155637263165841,151.2228018,0.5228909938316043,151.0279022,0.7153981284548554,64.0
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n128_b1,128,1,1,e2e,5,0.0120846,0.001681070284074999,0.012820599999999998,0.00015961923442993893,0.3779022,0.06452288480996489,0.3494846,0.004390286072683654,0.0
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n128_b16,128,16,1,e2e,5,0.014880599999999999,0.0039043451819735396,0.0178526,0.0030924924090448467,5.084495,1.2951053065067724,4.108757,0.6768765250136098,0.03
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n128_b4,128,4,1,e2e,5,0.0130364,0.002181848367783609,0.0125588,0.0017894746994579166,1.414874,0.3010469591068808,1.4538655999999999,0.23747012722298355,0.01
32_to_4194304,/home/nikhil/workspace/xeon-fft-bench/src/gpu/fft_logs/fft_benchmark_gpu_5run_32_to_4194304.manifest.txt,cufft_gpu,throughput,n131072_b1,131072,1,1,e2e,5,0.10390060000000001,0.001817587356910252,0.103338,0.0004824453336907704,107.25409400000001,1.833466866626585,107.814375,0.5015207895591166,2.0
