source_log,run_id,profile_id,workload,case_id,n,batch,threads_field,fwd_ms,fwd_gflops,bwd_ms,bwd_gflops,mem_mb,timing_mode,set_id,manifest,run_index,fwd_flops,bwd_flops
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b1,32,1,1,0.002606,0.306937,0.002509,0.318878,0.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,799.877822,800.064902
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b2,32,2,1,0.002597,0.616143,0.002816,0.568182,0.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,1600.123371,1600.0005119999998
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b4,32,4,1,0.00256,1.25,0.002658,1.204094,0.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,3200.0,3200.4818520000003
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b8,32,8,1,0.002662,2.403846,0.00256,2.5,0.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,6399.038052,6400.0
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b16,32,16,1,0.002662,4.807692,0.002677,4.781829,0.01,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,12798.076104,12800.956233000003
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b32,32,32,1,0.002867,8.928571,0.002963,8.639309,0.02,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,25598.213057,25598.272567
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b64,32,64,1,0.002907,17.611448,0.002856,17.927171,0.03,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,51196.479336,51200.000376
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b128,32,128,1,0.002931,34.934498,0.002918,35.087719,0.06,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,102393.01363799999,102385.96404199999
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b256,32,256,1,0.00297,68.965516,0.002918,70.175437,0.12,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,204827.58251999997,204771.925166
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b512,32,512,1,0.002918,140.350874,0.00297,137.931031,0.25,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,409543.850332,409655.16206999996
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b1024,32,1024,1,0.003027,270.613112,0.003029,270.470156,0.5,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,819145.8900240001,819254.1025239999
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b2048,32,2048,1,0.003226,507.936512,0.003226,507.936512,1.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,1638603.187712,1638603.187712
/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/runs/run01/fft_benchmark_gpu_20260225_144327.log,fft_benchmark_gpu_20260225_144327,cufft_gpu,throughput,n32_b4096,32,4096,1,0.004184,783.17403,0.004045,810.126606,2.0,compute,20260225_144327,/home/nikhil/workspace/xeon-fft-bench/src/gpu/latest_run/64k_batch/20260225_144327/manifest.tsv,1,3276800.1415200005,3276962.12127
