workload,case,length,batch,threads_field,profile,family,avg_fwd_ms,avg_fwd_sp_gflops,avg_bwd_ms,avg_bwd_sp_gflops,avg_mem_mb,avg_stream_slots,avg_workarea_mb,fwd_pct_of_peak,bwd_pct_of_peak,samples_ok,samples_skip,samples_expected,check_ok,check_fail,quality,note
throughput,n2_b1,2,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017956666666666665,0.005568962316688324,0.0017876666666666666,0.005593884020137983,0.0,1.0,0.0,1.5125684223031401e-05,1.5193373281646495e-05,3,0,3,3,0,ok,-
throughput,n2_b10,2,10,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017906666666666668,0.05584512285927029,0.0017796666666666666,0.05619029780857839,0.0,1.0,0.0,0.00015167919007719687,0.00015261670895199507,3,0,3,3,0,ok,-
throughput,n2_b16,2,16,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017843333333333333,0.08966934429291987,0.0017883333333333334,0.08946877912395153,0.0,1.0,0.0,0.00024354809911293157,0.00024300335033579167,3,0,3,3,0,ok,-
throughput,n2_b150,2,150,1,gpu_cache_reuse,run_gpu_cache_reuse,0.001791,0.8375209380234506,0.0017873333333333335,0.8392390898918314,0.01,1.0,0.0,0.0022747644028327796,0.0022794310213391502,3,0,3,3,0,ok,-
throughput,n2_b256,2,256,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017903333333333332,1.4299013219139824,0.0017836666666666667,1.435245748458232,0.02,1.0,0.0,0.0038837102202242337,0.0038982260498643916,3,0,3,3,0,ok,-
throughput,n2_b1024,2,1024,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017876666666666666,5.728137236621294,0.001782,5.746352413019079,0.06,1.0,0.02,0.015558014240406011,0.015607487910830048,3,0,3,3,0,ok,-
throughput,n4_b1,4,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.001779,0.022484541877459248,0.001779,0.022484541877459248,0.0,1.0,0.0,6.106956035935556e-05,6.106956035935556e-05,3,0,3,3,0,ok,-
throughput,n4_b10,4,10,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017783333333333334,0.2249297094657919,0.0017813333333333333,0.22455089820359284,0.0,1.0,0.0,0.0006109245429013695,0.0006098956654900462,3,0,3,3,0,ok,-
throughput,n4_b16,4,16,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017756666666666667,0.36042800825980853,0.001778,0.35995500562429694,0.0,1.0,0.0,0.0009789472307501579,0.0009776625230982546,3,0,3,3,0,ok,-
throughput,n4_b150,4,150,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018393333333333334,3.2620514679231603,0.001834,3.271537622682661,0.02,1.0,0.0,0.008859955879971383,0.008885720927968391,3,0,3,3,0,ok,-
throughput,n4_b256,4,256,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018433333333333333,5.555153707052441,0.0018456666666666667,5.54813075672747,0.03,1.0,0.01,0.01508817909065053,0.015069104275112415,3,0,3,3,0,ok,-
throughput,n4_b1024,4,1024,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018353333333333336,22.317471848892115,0.0018426666666666667,22.228654124457307,0.12,1.0,0.03,0.06061578668456043,0.060374551643485846,3,0,3,3,0,ok,-
throughput,n8_b1,8,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0017879999999999999,0.06711409395973156,0.0017863333333333333,0.06717671207314797,0.0,1.0,0.0,0.00018228648973035835,0.00018245656482807274,3,0,3,3,0,ok,-
throughput,n8_b10,8,10,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018386666666666666,0.6526468455402467,0.0018353333333333336,0.6538321830730112,0.0,1.0,0.0,0.0017726336673561315,0.0017758531255242314,3,0,3,3,0,ok,-
throughput,n8_b16,8,16,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018716666666666667,1.0258236865538735,0.0018723333333333335,1.0254584297667793,0.0,1.0,0.0,0.002786207603671998,0.0027852155411462113,3,0,3,3,0,ok,-
throughput,n8_b150,8,150,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002007,8.968609865470851,0.002002,8.991008991008991,0.04,1.0,0.01,0.02435936051105236,0.024420198074766284,3,0,3,3,0,ok,-
throughput,n8_b256,8,256,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0020183333333333334,15.220478943022297,0.0020093333333333335,15.288652952886528,0.06,1.0,0.02,0.04133986641022169,0.0415250317043617,3,0,3,3,0,ok,-
throughput,n8_b1024,8,1024,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0019676666666666666,62.449601897340344,0.001967333333333333,62.46018298881736,0.25,1.0,0.06,0.16961740885237497,0.1696461478237156,3,0,3,3,0,ok,-
throughput,n16_b1,16,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018136666666666668,0.1764381547509649,0.00181,0.17679558011049723,0.0,1.0,0.0,0.0004792181490724214,0.0004801889409029548,3,0,3,3,0,ok,-
throughput,n16_b10,16,10,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018823333333333333,1.7000177085177972,0.001883,1.699415825809878,0.0,1.0,0.0,0.004617364882420835,0.0046157301276385995,3,0,3,3,0,ok,-
throughput,n16_b16,16,16,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0018859999999999999,2.71474019088017,0.001884,2.7176220806794054,0.01,1.0,0.0,0.007373420852889488,0.007381248263561345,3,0,3,3,0,ok,-
throughput,n16_b150,16,150,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0020253333333333334,23.699802501645816,0.0020253333333333334,23.699802501645816,0.07,1.0,0.02,0.06437029169938392,0.06437029169938392,3,0,3,3,0,ok,-
throughput,n16_b256,16,256,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0020263333333333335,40.427701924658656,0.0020263333333333335,40.427701924658656,0.12,1.0,0.03,0.10980441568849801,0.10980441568849801,3,0,3,3,0,ok,-
throughput,n16_b1024,16,1024,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002169,151.07422775472568,0.0021686666666666664,151.09744850906856,0.5,1.0,0.12,0.41032798092539086,0.41039105008938187,3,0,3,3,0,ok,-
throughput,n32_b1,32,1,1,gpu_cache_reuse,run_gpu_cache_reuse,0.0020273333333333337,0.3946070371588293,0.0020266666666666666,0.39473684210526316,0.0,1.0,0.0,0.0010717798212360428,0.0010721323803877653,3,0,3,3,0,ok,-
throughput,n32_b10,32,10,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002166,3.693444136657433,0.002166333333333333,3.692875827050316,0.01,1.0,0.0,0.010031648003628211,0.010030104435694128,3,0,3,3,0,ok,-
throughput,n32_b16,32,16,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002255,5.676274944567628,0.002269666666666667,5.639594654134234,0.02,1.0,0.0,0.015417152692405293,0.01531752650376293,3,0,3,3,0,ok,-
throughput,n32_b150,32,150,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002451,48.959608323133416,0.002452666666666667,48.92633867898885,0.15,1.0,0.04,0.13297765958297864,0.13288729694395784,3,0,3,3,0,ok,-
throughput,n32_b256,32,256,1,gpu_cache_reuse,run_gpu_cache_reuse,0.002452666666666667,83.5009513454743,0.0024523333333333337,83.51230120973223,0.25,1.0,0.06,0.22679432011768808,0.22682514712871402,3,0,3,3,0,ok,-
